meeting_id,speaker_id,role,word_count,avg_sentence_len,question_count,hard_directive_count,soft_help_count,directive_count,uncertainty_count,sentiment_score,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31
hr_focus_001,spk_1,hr,288,13.258333333333335,2,0,0,0,0,0.17559523809523808,0.22434009693880927,-0.2602023390498421,-0.22456742145242423,0.05460993123437685,-0.23932849967898312,0.07567908605655817,0.05763291863217291,0.19532503051524322,0.029822127746290915,0.33444182939722705,0.014214980963407894,0.13538158642918566,-0.06795113911922661,-0.19510204076896462,0.037153630438643344,0.07590824957319789,-0.005734430087862277,-0.0044153204315319754,-0.012599954024302478,0.021261529035681563,-0.11095454117813071,-0.0722838482343106,0.013741691052901385,0.08549082523460053,0.07414450763999081,0.07049079813491169,-0.01615889796241262,-0.08031949655229438,0.005122339195163433,0.023425006860938888,-0.04050262184066013,-0.020378838382031222
hr_focus_001,spk_2,manager,103,12.083333333333334,0,2,0,2,0,0.09583333333333333,0.1528179361455273,-0.2045147319999685,-0.10937124274152496,0.16342135397045038,0.05063359031234762,-0.0897211429810525,0.0935224306192621,-0.01978569455244125,0.06740518871908306,-0.0983584906946679,-0.0955752909903582,-0.031218911648319157,-0.06211865710214051,0.029297522317349712,-0.13644748304763193,-0.11734259875004849,-0.08815342831928781,0.013847130985277635,-0.004171716792237732,-0.12757509467906472,-0.015484016723398386,-0.13042168673899857,0.07734364630789492,-0.1456335821997454,-0.07344424061584572,0.00518171033474482,0.2684850245793319,-0.0358222964772885,-0.022873395266228082,-0.07521199888511725,-0.03821929827167687,0.08251423754689309
hr_focus_001,spk_3,junior,76,13.5,1,0,0,0,1,0.22142857142857142,0.13791625594777165,-0.03740195240918841,0.013228366855360586,-0.07663084106188249,-0.06386098439475223,0.006943293767720978,0.06593188456517303,-0.023826814053782282,-0.21825033196869145,0.07710877962066463,0.08726080188799502,0.08091968741737782,0.02296551912845968,0.06735902565092285,-0.2228242332274782,-0.05347648643610288,-0.14141277516705647,0.1030139736343167,-0.20144408803081687,0.07293030126591633,0.08566576309480382,-0.030735896659885114,-0.1461607747397003,0.08307691818978274,-0.10068914088277917,0.29163369666342304,0.06112795253175117,0.08169011315294972,0.14096990968512282,0.08614419799776767,0.07906761719782687,0.08862890083670183
hr_focus_001,spk_4,other,73,10.75,0,0,0,0,0,0.3721969696969697,0.1906656125166627,-0.06641781935816307,-0.07798930101694582,-0.10693189611230747,-0.04967085031252392,0.051245509415666655,0.09807288402733623,-0.16617829497971734,-0.10342443769473536,0.13241763272278537,0.13539086590566682,0.08680343655204761,-0.07779746115826246,0.12938137440356706,-0.051507725999777036,-0.011058328489415074,0.16040393133320666,-0.12227262919275111,-0.017301228282404362,-0.07053055994832633,0.06459104756897319,-0.07549241546645052,0.013601614289488712,-0.06703292444128929,0.14881691661804697,-0.11954780194141892,0.0172967436854948,0.07565428758983897,-0.07927052886969187,0.24126341839013352,-0.017143980921028514,0.08294378868407822
hr_focus_002,spk_1,hr,262,11.233333333333333,1,3,0,3,0,0.2128787878787879,0.2124998946819802,-0.23475405696111507,-0.20716237124836587,0.017646454155544247,-0.2645551476558046,0.003985348665871737,0.028602055125021474,0.1380788733997413,0.11156605982726306,0.27973815492209686,0.05893177823568949,0.13905531947595667,-0.057755756988208125,-0.23420686784035186,0.017605017642577464,0.06078351996802054,0.05927492383389391,-0.012311585567994826,-0.0624060712286376,-0.0026928302897860222,-0.05325838828302525,-0.14083700620870568,0.023337145851645404,0.08770869599835462,0.09639810857170793,0.06499226775487488,-0.015781081611337646,0.020341123571336994,-0.01820209195988511,0.0004877925911149462,-0.035801996170687925,0.07382916779361016
hr_focus_002,spk_2,manager,121,11.5,0,1,0,1,0,-0.015238095238095228,0.2679533476392979,-0.2814051116380361,-0.09273573139628018,0.15474467849407472,0.15148144011359196,-0.07966443099461885,0.09360483336662595,-0.04284271073792893,0.026459066232487886,-0.07750260816242387,0.010147602379861198,-0.05723579144680153,-0.045683793817629124,-0.06751819826721973,-0.12704537455196005,-0.0724871922332895,-0.04928700040364982,0.012520216841956415,-0.0721109728495914,-0.05905063876593664,-0.014185728181048666,-0.07396275990071013,0.0956096750878823,-0.024861610076089075,0.04252371516330398,-0.030030651975356253,-0.03478611621218543,-0.03666450430348537,0.034983680111652295,-0.09398189379920867,-0.04819789666032886,0.03799314656486912
hr_focus_002,spk_3,junior,123,13.7,2,0,0,0,3,0.06727272727272728,0.2005303849369934,-0.0879546178583124,0.026202620972977608,-0.12933440981375685,-0.09486355226872117,0.019581947883317942,0.022710161794055893,-0.05457287182052159,-0.09203997323803481,0.08127816226756708,0.22431637411665453,0.09758276085473078,0.013222875437479813,-0.035545661581983024,-0.08539993038011542,-0.12927782910508148,-0.016942965296697227,-0.009801754408376367,-0.22809608454996663,-0.041292709754694436,0.02056596370184006,0.026130582483019978,0.034175984746130254,0.13664454677945295,-0.02110403909362981,0.1383405309990693,-0.0372590020303498,0.03974670828675895,-0.02288405516788545,0.02829535319283723,0.0357256075375169,-0.01163128730303527
hr_focus_002,spk_4,other,69,7.708333333333333,0,0,0,0,0,0.21483585858585857,0.21558252041024664,-0.0135531575538396,-0.05766177395597432,-0.018349290226221927,-0.08311832005256067,-0.008352699885794863,-0.03772977010044415,-0.043130886008171034,-0.01923943315190122,0.08800619759104554,0.16267789330805696,0.13473797112875452,0.013352129690216666,-0.034960296718258996,0.03726321860545705,-0.046619676127892244,0.0332890121179653,-0.10373284999134147,-0.04302914394441803,-0.047007897304325974,0.007170566986696507,-0.0932647490567465,-0.04247451693260632,-0.0628615772348729,0.05304670463817116,-0.11303878127993473,0.031248032318746864,-0.001550977988017658,-0.08360200737424126,0.09270938248260865,0.026758263240171453,-0.13599713464092245
hr_focus_003,spk_1,manager,131,10.916666666666666,0,3,0,3,0,0.15575396825396826,0.177385493343249,-0.22428381303241252,-0.14137348518825207,0.1876130578548779,0.037483407987946714,0.01267556383510199,0.21407898442803983,0.2007131176907441,0.03266603986861437,-0.02611461867443407,-0.16538326187290167,-0.06736838094741782,0.07654316884734633,-0.03988602258647452,-0.1045676240395541,-0.1855001615040965,-0.05632207945676212,0.051062988392071455,-0.020098244519052996,-0.19226547713621803,-0.015267514799594765,-0.05393701551440753,0.1550640192917191,-0.1495657940202141,-0.06928045481997265,0.06245802782294769,0.17709662754694463,-0.023066524398484323,-0.029976785774123896,-0.18209718529466976,-0.00877092293433044,0.037142048685932266
hr_focus_003,spk_2,hr,235,12.666666666666666,0,2,0,2,0,0.19902356902356902,0.1899026547496528,-0.2242966600701781,-0.21124896904827797,0.0029794452883703114,-0.24553308997360515,0.18033356265951575,0.0907273170390017,0.20417031699119756,-0.04571202446283879,0.17166023164023259,-0.07294155055439272,0.09168710405370693,-0.05220468284579254,0.0888122567419692,0.01255179171098128,-0.07466621888390004,-0.05889803153370413,0.003473015524415576,0.01484110907043423,0.005412579037257829,-0.09089831100379665,0.09500348348728704,0.06267097090681105,-0.0450247465112924,-0.251978413036709,-0.004498866076012254,0.05969477927832817,-0.19205534234506771,-0.021835702110437918,-0.1212658782571078,0.008899640547007868,-0.10516648650687155
