feature,weight,gain,cover
word_count,241.0,2.2942252159118652,38.206138610839844
avg_sentence_len,503.0,2.8046441078186035,63.124420166015625
question_count,145.0,3.332352638244629,78.7525405883789
hard_directive_count,2.0,0.8539146184921265,23.770349502563477
soft_help_count,21.0,2.0175392627716064,88.14266967773438
directive_count,10.0,1.022749662399292,51.2438850402832
uncertainty_count,51.0,6.498530387878418,111.36511993408203
sentiment_score,246.0,1.2150983810424805,38.43145751953125
tfidf_0,457.0,1.4512159824371338,30.924516677856445
tfidf_1,429.0,3.2874529361724854,63.96515655517578
tfidf_2,416.0,2.7609732151031494,51.17601776123047
tfidf_3,506.0,3.991985321044922,66.9391098022461
tfidf_4,380.0,2.3609092235565186,45.155330657958984
tfidf_5,252.0,1.286758542060852,31.561412811279297
tfidf_6,263.0,1.169700026512146,28.508621215820312
tfidf_7,209.0,0.6804592609405518,20.162368774414062
tfidf_8,342.0,1.089038372039795,35.05176544189453
tfidf_9,228.0,0.8787862062454224,24.61486053466797
tfidf_10,227.0,0.7689731121063232,25.78122329711914
tfidf_11,248.0,0.8642758131027222,29.53626251220703
tfidf_12,213.0,1.422359824180603,30.33282470703125
tfidf_13,265.0,1.1474632024765015,34.08688735961914
tfidf_14,258.0,0.92011559009552,25.373186111450195
tfidf_15,254.0,0.6997019052505493,25.4132137298584
tfidf_16,262.0,1.032432198524475,32.083282470703125
tfidf_17,181.0,0.8978275060653687,23.94316864013672
tfidf_18,332.0,1.0245033502578735,33.96672439575195
tfidf_19,322.0,1.1942267417907715,26.323341369628906
tfidf_20,252.0,1.0444614887237549,23.968896865844727
tfidf_21,244.0,0.9906022548675537,24.701431274414062
tfidf_22,218.0,1.1310913562774658,37.827919006347656
tfidf_23,280.0,0.9519900679588318,27.698808670043945
tfidf_24,217.0,0.7826285362243652,20.49976348876953
tfidf_25,296.0,1.1361960172653198,29.13993263244629
tfidf_26,303.0,1.7378616333007812,39.975929260253906
tfidf_27,266.0,1.1479350328445435,34.18915939331055
tfidf_28,235.0,1.008347511291504,30.9794921875
tfidf_29,237.0,0.9227541089057922,23.793935775756836
tfidf_30,312.0,0.8537505865097046,28.195507049560547
tfidf_31,247.0,0.8797627687454224,33.8952751159668
