meeting_id,num_speakers
hr_focus_001,4
hr_focus_002,4
hr_focus_003,4
hr_focus_004,4
hr_focus_005,4
hr_focus_006,4
hr_focus_007,4
hr_focus_008,4
hr_focus_009,4
hr_focus_010,4
hr_focus_011,4
scrum_001,4
scrum_002,4
scrum_003,4
scrum_004,4
scrum_005,4
scrum_006,4
scrum_007,4
scrum_008,4
scrum_009,4
scrum_010,4
scrum_011,4
scrum_012,4
scrum_013,4
scrum_014,4
scrum_015,4
scrum_016,4
scrum_017,4
scrum_018,4
scrum_019,4
scrum_020,4
scrum_021,4
scrum_022,4
scrum_023,4
scrum_024,4
scrum_025,4
scrum_026,4
scrum_027,4
scrum_028,4
scrum_029,4
scrum_030,4
scrum_031,4
scrum_032,4
scrum_033,4
scrum_034,4
scrum_035,4
scrum_036,4
scrum_037,4
scrum_038,4
scrum_039,4
scrum_040,4
scrum_041,4
scrum_042,4
scrum_043,4
scrum_044,4
scrum_045,4
scrum_046,4
scrum_047,4
scrum_048,4
scrum_049,4
scrum_050,4
scrum_051,4
scrum_052,4
scrum_053,4
scrum_054,4
scrum_055,4
scrum_056,4
scrum_057,4
scrum_058,4
scrum_059,4
scrum_060,4
scrum_061,3
scrum_062,3
scrum_063,2
scrum_064,4
scrum_065,4
scrum_066,2
scrum_067,5
scrum_068,2
scrum_069,3
scrum_070,3
scrum_071,3
scrum_072,3
scrum_073,2
scrum_074,4
scrum_075,2
scrum_076,4
scrum_077,2
scrum_078,4
scrum_079,2
scrum_080,5
scrum_081,3
scrum_082,3
scrum_083,3
scrum_084,2
scrum_085,3
scrum_086,3
scrum_087,3
scrum_088,3
scrum_089,3
scrum_090,2
scrum_091,3
scrum_092,3
scrum_093,3
scrum_094,3
scrum_095,3
scrum_096,2
scrum_097,3
scrum_098,3
scrum_099,3
scrum_100,3
scrum_101,3
scrum_102,5
scrum_103,2
scrum_104,4
scrum_105,3
scrum_106,4
scrum_107,3
scrum_108,3
scrum_109,4
scrum_110,4
scrum_111,4
scrum_112,4
scrum_113,3
scrum_158,4
scrum_159,4
scrum_160,4
scrum_161,4
scrum_162,4
scrum_163,4
scrum_164,4
scrum_165,4
scrum_166,4
scrum_167,4
scrum_168,4
scrum_169,4
scrum_170,4
scrum_171,4
scrum_172,4
scrum_173,4
scrum_174,4
scrum_175,4
scrum_176,4
scrum_177,4
scrum_178,4
scrum_179,4
scrum_180,4
scrum_181,4
scrum_182,4
scrum_183,4
scrum_184,4
scrum_185,4
scrum_186,4
scrum_187,4
scrum_188,4
scrum_189,4
scrum_190,4
scrum_191,4
scrum_192,4
scrum_193,4
scrum_194,4
scrum_195,4
scrum_196,4
scrum_197,4
scrum_198,4
scrum_199,4
scrum_200,4
scrum_201,4
scrum_202,4
scrum_203,4
scrum_204,4
scrum_205,4
scrum_206,4
scrum_207,4
scrum_208,4
scrum_209,4
scrum_210,4
scrum_211,4
scrum_212,4
scrum_213,4
scrum_214,4
scrum_215,4
scrum_216,4
scrum_217,4
scrum_218,4
scrum_219,4
scrum_220,4
scrum_221,4
scrum_222,4
scrum_223,4
scrum_224,4
scrum_225,4
scrum_226,4
scrum_227,4
scrum_228,4
scrum_229,4
scrum_230,4
scrum_231,4
scrum_232,4
scrum_233,4
scrum_234,4
scrum_235,4
scrum_236,4
scrum_237,4
scrum_238,4
scrum_239,4
scrum_240,4
scrum_241,4
scrum_242,4
scrum_243,4
scrum_244,4
scrum_245,4
scrum_246,4
scrum_247,4
scrum_248,4
scrum_249,4
scrum_250,4
scrum_251,4
scrum_252,4
scrum_253,4
scrum_254,4
scrum_255,4
scrum_256,4
scrum_257,4
scrum_258,4
scrum_259,4
scrum_260,4
scrum_261,4
scrum_262,4
scrum_263,4
scrum_264,4
scrum_265,4
scrum_266,4
scrum_267,4
scrum_268,4
scrum_269,4
scrum_270,4
scrum_271,4
scrum_272,4
scrum_273,4
scrum_274,4
scrum_275,4
scrum_276,4
scrum_277,4
scrum_278,4
scrum_279,4
scrum_280,4
scrum_281,4
scrum_282,4
scrum_283,4
scrum_284,4
scrum_285,4
scrum_286,4
scrum_287,4
scrum_288,4
scrum_289,4
scrum_290,4
scrum_291,4
scrum_292,4
scrum_293,4
scrum_294,4
scrum_295,4
scrum_296,4
scrum_297,4
scrum_298,4
scrum_299,4
scrum_300,4
scrum_301,4
scrum_302,4
scrum_303,4
scrum_304,4
scrum_305,4
scrum_306,4
scrum_307,4
scrum_308,4
scrum_309,4
scrum_310,4
scrum_901,4
scrum_902,4
scrum_903,4
scrum_904,4
scrum_905,4
scrum_906,4
scrum_907,4
scrum_908,4
scrum_909,4
scrum_910,4
scrum_911,4
scrum_912,4
scrum_913,4
scrum_914,4
scrum_915,4
scrum_916,4
scrum_917,4
